,title,runtime,maturity,studio,Genre,avg_votes,votes,country
1072,The Night of the Hunter,92.0,13+,United Artists,Drama,8.0,80215.0,USA
1075,West Side Story,153.0,13+,United Artists Films,Drama,7.5,94819.0,USA
1076,Explorers,109.0,7+,Paramount Studios,Drama,6.6,19374.0,USA
1078,Coherence,88.0,18+,Oscilloscope Pictures,Drama,7.2,103653.0,"USA, UK"
1088,The Ultimate Gift,117.0,7+,Fox Faith,Drama,7.3,17498.0,USA
1089,And So It Goes,93.0,13+,Clarius Entertainment,Drama,5.8,12539.0,USA
1091,Vanilla Sky,135.0,18+,Paramount Pictures,Drama,6.9,244825.0,"USA, Spain"
1096,Mommie Dearest,128.0,7+,Paramount Pictures,Drama,6.7,14035.0,USA
1097,Pride,0.0,18+,CBS Films,Drama,7.8,50641.0,"UK, France, USA"
1099,W.,129.0,13+,Lionsgate,Drama,6.3,45638.0,"USA, Australia, Hong Kong, Switzerland, China"
1103,Branded,106.0,18+,Barbossa/Roadside Attraction,Drama,4.7,8745.0,"USA, Russia"
1105,We Were Soldiers,138.0,18+,Paramount Pictures,Drama,7.2,127888.0,"USA, Germany, France"
1106,Let There Be Light,100.0,13+,Atlas Distribution,Drama,6.7,267.0,"Slovakia, Czech Republic"
1108,Better Watch Out,88.0,18+,Well Go USA Entertainment,Drama,6.5,28490.0,"Australia, USA"
1124,Love & Mercy,121.0,13+,Roadside Attractions,Drama,7.4,35291.0,USA
1125,Dr. Jekyll and Mr. Hyde,82.0,18+,Paramount Pictures,Drama,6.6,464.0,USA
1129,Still Mine,103.0,13+,Samuel Goldwyn Films,Drama,7.4,4001.0,Canada
1130,A Simple Plan,121.0,18+,Paramount,Drama,7.5,62089.0,"UK, Germany, France, USA, Japan"
1134,The Ruins,90.0,18+,DreamWorks/Paramount Studios,Horror,5.8,69194.0,"USA, Germany, Australia"
1135,The Stuff,86.0,18+,New World Video,Horror,5.9,13343.0,USA
1137,The Dead Zone,103.0,18+,Paramount Pictures,Horror,7.2,60037.0,USA
1139,Creature,94.0,18+,Independent Pictures,Horror,3.1,1229.0,India
1145,Frailty,99.0,18+,Lions Gate Films,Horror,7.2,75365.0,"USA, Germany, Italy"
1146,Aftershock,92.0,18+,The Weinstein Company,Horror,4.8,11087.0,"USA, Chile"
1148,The Exorcist III,109.0,18+,WARNER BROTHERS PICTURES,Horror,6.4,24772.0,USA
1155,V/H/S,116.0,18+,Magnolia Pictures,Horror,5.8,56011.0,USA
1164,House of 1000 Corpses,88.0,18+,Lions Gate Films Inc.,Horror,6.1,74975.0,USA
1167,Creepshow 2,89.0,18+,New World Video,Horror,6.1,21923.0,USA
1191,Pulse,85.0,18+,The Weinstein Company,Horror,4.8,27819.0,"USA, Romania, South Africa"
1196,Candyman: Farewell to the Flesh,94.0,18+,PolyGram Video,Horror,5.3,10248.0,"USA, UK"
