Genre,Runtime,Studio,movienane,year
Action,151 minutes,Warner Bros. Pictures,Batman v Superman: Dawn of Justice,2016
Action,99 minutes,Paradox Film 3,The Last King,2016
Action,120 minutes,Twentieth Century Fox Home Entertainment,The Mighty Quinn,1989
Action,135 minutes,MCA Universal Home Video,Waterworld,1995
Action,152 minutes,Warner Home Video,Sphere,1998
Action,100 minutes,MGM,Agent Cody Banks 2: Destination London,2004
Action,100 minutes,Roadside Attractions,'71,2015
Action,94 minutes,Millenium Entertainment,Ninja: Shadow of a Tear,2013
Action,96 minutes,Warner Home Video,Hard to Kill,1990
Action,85 minutes,MGM Home Entertainment,All Dogs Go To Heaven,1989
Action,101 minutes,MGM Home Entertainment,Missing in Action,1984
Action,159 minutes,Warner Bros. Pictures,The Assassination of Jesse James by the Coward Robert Ford,2007
Action,93 minutes,Dimension Home Video,From Dusk Till Dawn 3: The Hangman's Daughter,2000
Action,109 minutes,Trimark,Prince of Central Park,2000
Action,84 minutes,Warner Home Video,Hot to Trot,1988
Action,97 minutes,Focus Features,Waist Deep,2006
Action,98 minutes,Orion Pictures Corp.,Bill & Ted's Bogus Journey,1991
Action,86 minutes,MGM,Walking Tall,2004
Action,111 minutes,Sony Pictures Home Entertainment,Drunken Master (Jui kuen),1978
Action,94 minutes,Miramax Films,Undisputed,2002
Action,99 minutes,Hemdale Home Video,Highlander III: The Sorcerer (Highlander: The Final Dimension),1993
Action,90 minutes,Grindstone Entertainment Group,Precious Cargo,2016
Action,158 minutes,Sony Pictures/Columbia,2012,2009
Action,95 minutes,Fantastic Films International,BloodRayne,2006
Action,123 minutes,Sony Pictures,The Walk,2015
Action,114 minutes,Paramount Pictures,Beau Geste,1939
Action,76 minutes,Full Moon,Trancers,1985
Action,87 minutes,20th Century Fox,AVP - Alien Vs. Predator,2004
Action,149 minutes,Sony Pictures,The Da Vinci Code,2006
Action,96 minutes,Criterion Collection,Sanjuro (Tsubaki Sanjr),1963
Action,111 minutes,Universal Pictures,Charley Varrick,1973
Action,130 minutes,Miramax Films,Cidade de Deus (City of God),2003
Action,120 minutes,Well Go USA,Kill Zone 2 (Saat po long 2),2016
Action,118 minutes,Walt Disney Pictures,Ant-Man and the Wasp,2018
Action,115 minutes,Open Road Films,The Gunman,2015
Action,93 minutes,Paramount Home Video,Another 48 Hrs.,1990
Action,109 minutes,Universal Pictures,Contraband,2012
Action,98 minutes,Gaumont,Le Chteau de Ma Mre (My Mother's Castle),1990
Action,90 minutes,Motion Picture Marketing,Final Exam,1981
Action,93 minutes,Summit Entertainment,Source Code,2011
Action,117 minutes,United Artists,Goldfinger,1964
Action,79 minutes,Paul Devlin Productions,BLAST!,2009
Action,92 minutes,Bounty Films,Dead Hooker in a Trunk,2009
Action,120 minutes,Central Motion Pictures Corporation,The Assassin,2015
Action,95 minutes,MCA Universal Home Video,Fletch Lives,1989
Action,130 minutes,905 Corporation,Hoodlum,1997
Action,151 minutes,Mandarin Films,Chat gim (The Seven Swords),2005
Action,97 minutes,Sony Pictures Home Entertainment,Sunset,1988
Action,122 minutes,Universal Studios,Lone Survivor,2014
Action,99 minutes,Sony Pictures Home Entertainment,Beyond Rangoon,1995
Action,109 minutes,Universal Pictures,Doomsday,2008
Action,109 minutes,Buena Vista Pictures,A Stranger Among Us,1992
Action,96 minutes,Sony Pictures Home Entertainment,The Bear,1989
Action,83 minutes,Universal Pictures,Ouija,2014
Action,100 minutes,Breaking Glass Pictures,7 Boxes,2014
Action,179 minutes,Twentieth Century Fox Home Entertainment,The Longest Day,1962
Action,118 minutes,Paramount Home Video,Switchback,1997
Action,93 minutes,Phase 4 Films,Heatstroke,2014
Action,105 minutes,Buena Vista Pictures,Dick Tracy,1990
Action,100 minutes,Anchor Bay Entertainment,The Incredible Hulk Returns,1988
Action,125 minutes,Universal Pictures,Oblivion,2013
Action,180 minutes,New Line Cinema,The Lord of the Rings: The Two Towers,2002
Action,105 minutes,Media Home Entertainment,Throne of Blood,1957
Action,104 minutes,Magnolia Pictures,Warrior King 2 (The Protector 2),2014
Action,106 minutes,Well Go USA Entertainment,Reset,2017
Action,130 minutes,MGM Home Entertainment,The Living Daylights,1987
Action,120 minutes,Twentieth Century Fox Home Entertainment,The Black Stallion,1979
Action,99 minutes,Sony Pictures Classics,Redbelt,2008
Action,90 minutes,VCI Entertainment,The Deadly Companions (Trigger Happy),1961
Action,98 minutes,Redwood Palms Pictures,Battle in Seattle,2008
Action,85 minutes,Dreamworks,Red Eye,2005
Action,109 minutes,Universal Pictures,Judgment Night,1993
Action,92 minutes,Joseph Brenner Associates,Infra-Man (Zhong guo chao ren),1975
Action,112 minutes,Paramount Pictures,The Spy Who Came In from the Cold,1965
Action,222 minutes,Columbia Pictures,Lawrence of Arabia,1962
Action,138 minutes,20th Century Fox Film Corporat,Aliens,1986
Action,113 minutes,Anchor Bay Entertainment,5 Days Of War,2011
Action,96 minutes,MCA Universal Home Video,Double Dragon,1994
Action,110 minutes,Square Enix Company,Kingsglaive: Final Fantasy XV,2016
Action,100 minutes,Hatchet Films,The Take,2007
Action,96 minutes,Arc Entertainment,Justin and the Knights of Valour,2013
Action,103 minutes,Columbia Pictures,Snatch,2001
Action,135 minutes,Entertainment Studios Motion Pictures,Hostiles,2018
Action,90 minutes,LionsGate Entertainment,Barbarosa,1982
Action,83 minutes,Pathfinder Home Entertainment,Run for Cover,1995
Action,94 minutes,Sony Pictures Classics,Ashes of Time Redux,2008
Action,94 minutes,Miramax Films,Rabbit-Proof Fence,2002
Action,130 minutes,Sony Pictures Home Entertainment,The Odessa File,1974
Action,125 minutes,Warner Home Video,Absolute Power,1997
